event,timestamp_ms,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
imu_data,17992,-7.99,-2.37,9.67,-0.31,1.19,92.25
imu_data,18042,-1.70,-0.99,9.45,-1.56,1.06,127.69
imu_data,18093,5.90,-0.93,9.47,-0.75,1.56,135.69
imu_data,18143,13.86,-0.82,9.36,-2.81,0.94,106.75
imu_data,18191,14.67,-1.17,9.24,1.50,0.44,14.38
imu_data,18239,9.78,-0.60,9.38,0.06,-0.81,-40.50
imu_data,18289,2.22,-2.54,9.50,0.50,-1.81,-156.62
imu_data,18339,-9.95,-3.46,9.82,0.00,-3.12,-172.31
imu_data,18389,-20.32,-5.21,9.79,0.50,-0.50,-125.44
imu_data,18440,-20.37,-3.97,9.77,7.44,4.88,12.62
imu_data,18491,-8.90,-1.59,9.57,2.50,2.19,152.62
imu_data,18542,0.72,-1.35,9.36,-1.38,2.19,135.56
imu_data,18592,11.37,-2.04,9.41,-0.44,1.69,135.56
imu_data,18643,16.75,-0.90,9.31,-2.56,1.38,108.81
imu_data,18693,11.98,-0.26,9.36,-3.38,-0.88,-7.88
imu_data,18742,5.58,-1.58,9.52,-0.56,-1.75,-121.50
imu_data,18789,-4.75,-5.19,9.68,-1.94,-2.94,-163.44
imu_data,18839,-16.87,-2.76,9.78,0.56,-0.12,-140.06
imu_data,18889,-15.89,-5.02,9.91,2.50,0.38,-67.69
imu_data,18939,-8.65,-2.03,9.67,3.00,1.75,101.06
imu_data,18990,-2.90,-0.92,9.56,-1.38,1.56,119.81
imu_data,19040,3.25,-1.24,9.57,-2.44,1.75,71.12
imu_data,19089,13.78,-2.01,9.41,-5.25,0.88,61.19
imu_data,19139,4.85,-0.69,9.50,1.50,0.38,22.75
imu_data,19189,8.76,-1.99,9.48,-1.25,-0.56,-36.44
imu_data,19239,1.94,-2.77,9.50,-2.12,-1.38,-80.06
imu_data,19289,-4.17,-2.92,9.61,0.38,-1.88,-100.25
imu_data,19339,-12.24,0.04,9.60,1.25,-0.44,-94.75
imu_data,19389,-9.63,-1.53,9.72,1.38,1.00,-29.69
imu_data,19439,-9.70,-0.10,9.66,2.56,1.44,78.69
imu_data,19489,-5.82,0.69,9.63,2.88,1.06,91.75
imu_data,19540,1.30,-3.62,9.54,-2.56,1.62,101.12
imu_data,19589,10.33,-4.24,9.45,-3.19,1.88,134.69
imu_data,19639,10.05,-0.67,9.41,-3.44,0.50,45.25
imu_data,19689,14.41,-1.36,9.32,-1.56,-1.25,-51.00
imu_data,19739,5.43,-1.49,9.49,1.94,-1.50,-119.31
imu_data,19789,-5.13,-3.55,9.64,-1.75,-2.38,-144.69
imu_data,19839,-15.68,-4.00,9.70,0.19,-1.56,-140.69
imu_data,19889,-15.27,-2.65,9.75,2.81,-0.75,-36.50
imu_data,19939,-7.32,-2.91,9.68,13.69,3.12,124.62
imu_data,19989,-2.25,-1.68,9.50,-2.81,1.69,133.94
imu_data,20039,4.29,-3.23,9.51,-3.94,2.06,155.50
imu_data,20090,16.44,-4.50,9.39,-7.69,1.94,145.62
imu_data,20141,12.56,-4.70,9.45,-0.12,-0.06,-7.81
imu_data,20192,11.37,-1.00,9.44,6.88,-1.06,-63.19
imu_data,20242,1.52,-3.26,9.58,1.81,-1.56,-123.62
imu_data,20293,-5.99,-4.13,9.67,-4.56,-1.94,-160.94
imu_data,20343,-15.50,-1.33,9.76,1.06,-1.00,-138.94
imu_data,20393,-12.60,-2.03,9.71,0.38,-0.25,-40.25
imu_data,20439,-9.70,-1.09,9.70,2.56,1.69,89.62
imu_data,20489,-3.80,-1.01,9.51,-1.44,1.38,130.06
imu_data,20539,0.78,-2.00,9.52,-1.12,1.12,86.75
imu_data,20589,10.45,-3.81,9.45,-3.19,1.56,123.69
imu_data,20640,19.95,-3.26,9.25,-2.94,1.19,88.62
imu_data,20691,14.63,-3.48,9.35,1.31,-1.50,-58.31
imu_data,20742,7.77,-2.53,9.43,2.50,-1.62,-97.31
imu_data,20792,-1.80,-2.65,9.54,1.25,-1.88,-154.88
imu_data,20843,-18.46,-1.11,9.80,4.12,-2.31,-177.38
imu_data,20893,-14.87,-3.43,9.74,-2.62,-1.56,-141.62
imu_data,20943,-2.18,0.65,9.46,-2.31,0.25,41.75
imu_data,20989,0.00,-0.33,9.53,2.69,1.56,51.69
imu_data,21039,1.08,-1.20,9.49,-3.25,0.25,37.69
imu_data,21089,1.06,-1.76,9.49,-1.75,-0.69,32.50
imu_data,21139,2.94,-1.51,9.62,-0.94,-2.88,22.44
imu_data,21190,1.21,0.98,9.41,-1.25,0.62,66.88
imu_data,21241,-0.09,-0.85,9.53,1.25,0.00,104.19
imu_data,21292,-0.67,-0.37,9.52,-1.38,0.12,87.31
imu_data,21342,-0.25,-0.93,9.48,-0.56,0.50,76.50
imu_data,21393,0.67,-0.90,9.48,-2.38,1.12,-15.44
imu_data,21443,-0.16,-0.47,9.51,0.38,-0.25,-10.44
imu_data,21493,-2.88,1.97,9.96,-2.06,-1.50,16.12
imu_data,21539,2.95,-3.10,9.07,2.62,-22.56,-50.88
imu_data,21589,-1.04,0.10,9.44,4.88,-24.44,-37.00
imu_data,21639,-1.21,-0.91,7.27,30.31,-4.94,-25.31
imu_data,21689,-0.57,-1.08,12.53,66.44,35.81,40.00
imu_data,21740,-1.16,2.02,10.01,127.06,18.25,0.62
imu_data,21790,0.45,1.20,8.80,-49.69,48.38,-50.31
imu_data,21839,-0.87,1.13,7.02,-120.38,37.12,-52.12
imu_data,21889,-1.58,-0.51,6.55,-50.56,57.50,-18.06
imu_data,21939,-2.19,-1.93,9.71,-113.81,-11.06,7.88
imu_data,21989,-1.66,-1.22,17.52,-27.50,-36.94,36.81
imu_data,22039,0.73,1.94,19.88,64.56,-7.75,23.94
imu_data,22089,0.00,-1.91,10.99,61.31,104.19,-30.19
imu_data,22139,-1.56,-5.18,-3.06,-3.88,91.25,-15.88
imu_data,22189,-2.70,-4.95,-9.07,-44.06,-27.75,52.31
imu_data,22239,0.07,-4.67,-1.55,-175.75,-110.44,46.12
imu_data,22290,1.47,-3.82,13.63,-94.38,-162.62,58.38
imu_data,22339,4.96,2.09,27.22,-25.44,-122.56,45.69
imu_data,22389,3.88,1.53,27.36,78.38,56.50,-29.88
imu_data,22439,0.96,-5.10,11.90,105.88,180.94,-63.62
imu_data,22489,-1.43,-5.54,-3.16,86.69,137.38,-33.00
imu_data,22539,-0.88,-3.08,-10.98,-29.50,33.06,4.50
imu_data,22589,1.30,-3.51,-0.02,-120.62,-143.62,7.38
imu_data,22639,0.79,-5.07,18.05,-83.19,-186.12,23.00
imu_data,22689,2.41,4.19,29.85,11.69,-112.75,39.38
imu_data,22739,3.35,0.01,23.67,93.56,114.81,-46.00
imu_data,22789,0.17,-6.15,7.10,133.81,202.94,-66.62
imu_data,22840,-1.33,-6.56,-8.30,63.81,146.50,-14.62
imu_data,22891,-0.53,-3.91,-12.32,-77.38,-64.94,29.25
imu_data,22942,2.01,-4.60,0.14,-164.81,-172.75,25.94
imu_data,22992,2.44,-3.72,20.52,-118.31,-198.62,29.19
imu_data,23043,3.73,3.10,35.11,11.88,-62.50,13.12
imu_data,23093,2.73,-0.73,20.99,79.56,185.81,-63.94
imu_data,23143,0.29,-6.70,3.40,130.06,208.94,-65.38
imu_data,23189,-1.39,-5.90,-12.94,12.69,105.62,-9.06
imu_data,23239,0.04,-5.00,-8.09,-119.44,-121.19,33.06
imu_data,23289,2.27,-5.41,10.26,-158.50,-195.75,24.56
imu_data,23339,3.61,0.27,30.58,-7.25,-203.12,43.88
imu_data,23390,4.57,3.34,32.13,55.25,65.44,-22.62
imu_data,23440,3.09,-2.40,19.02,134.25,210.62,-89.12
imu_data,23491,0.05,-6.89,0.07,107.19,237.94,-66.31
imu_data,23542,-2.31,-6.79,-14.87,-6.75,80.69,18.12
imu_data,23593,0.85,-4.74,-6.50,-118.69,-143.81,47.62
imu_data,23643,2.74,-5.13,12.43,-166.94,-235.50,40.88
imu_data,23693,4.48,1.48,30.13,-21.75,-215.31,49.62
imu_data,23740,4.55,3.00,30.39,59.25,79.19,-35.12
imu_data,23789,1.84,-6.33,10.34,111.94,261.69,-91.62
imu_data,23839,-0.69,-7.13,-5.23,109.44,217.81,-37.94
imu_data,23889,-2.04,-5.21,-14.52,-32.50,13.88,28.31
imu_data,23940,1.71,-5.48,-1.26,-133.88,-212.06,29.31
imu_data,23990,2.83,-5.81,13.19,-130.38,-252.00,48.31
imu_data,24041,4.05,1.96,31.67,35.00,-178.75,45.44
imu_data,24092,4.52,2.64,25.99,73.00,151.44,-56.25
imu_data,24143,2.07,-3.46,12.02,118.38,192.12,-83.75
imu_data,24193,-0.65,-7.01,-3.18,66.81,196.62,-51.06
imu_data,24243,-2.76,-6.51,-11.43,-20.00,1.12,30.75
imu_data,24290,0.96,-5.64,1.22,-106.62,-203.38,57.88
imu_data,24339,4.28,-1.79,17.78,-76.19,-223.25,82.69
